name,phot,sigma,channel,unit
cx0100-7211,81.72148666304537,20.750081015257017,1,uJy
cx0100-7211,22.918170147836214,14.855797262790894,2,uJy
cx0100-7211,-3.0116109500885013,8.495620157230416,3,uJy
cx0100-7211,4.3849734784072645,5.0149040044495345,4,uJy
4u0142+61,10.145185296451674,1.7145267982618713,1,uJy
4u0142+61,23.29649976047874,0.6452173389762079,2,uJy
4u0142+61,30.9312183041811,1.9309300514360237,4,uJy
sg0526-66,-21.141958931162954,5.41623183434947,1,uJy
sg0526-66,-36.196398100376136,7.208297994438136,2,uJy
sg0526-66,-81.3587631479025,19.972348975555747,3,uJy
sg0526-66,-86.90371615945102,12.33704184692973,4,uJy
1e1048-5937,70.11761872015894,97.08368733633893,1,uJy
1e1048-5937,21.165459521293645,63.79542509181723,2,uJy
1e1048-5937,98.07215509021282,45.09597232331676,3,uJy
1e1048-5937,-2.846742293787003,21.754657385711287,4,uJy
ps1622-4950,279.76016646087174,71.08539840850575,1,uJy
ps1622-4950,129.31574341697694,53.058128690230355,2,uJy
ps1622-4950,1223.4544615207672,98.56223378850211,3,uJy
ps1622-4950,nan,nan,4,uJy
sg1627-41,225.06466720352176,179.9617498580623,2,uJy
sg1627-41,72.54871836624146,192.8712593556356,3,uJy
sg1627-41,533.0072860130311,478.2140722918302,4,uJy
cx1647-4552,-429.4758354628086,438.07172039513205,1,uJy
cx1647-4552,nan,nan,3,uJy
cx1647-4552,474.7168607798768,161.266675908509,4,uJy
1r1708-4009,393.3015789306164,129.78135393064704,1,uJy
1r1708-4009,-161.8608156620026,112.45262688908828,2,uJy
1r1708-4009,237.3986622921944,156.90059125396792,3,uJy
1r1708-4009,-58.001209195518506,70.98515147733332,4,uJy
cx1714-3810,-18.983670035004618,182.67836495555602,1,uJy
cx1714-3810,52.006507438087475,75.71191340769282,2,uJy
cx1714-3810,-51.213091107416155,117.65992768125199,3,uJy
cx1714-3810,298.74643789386755,261.20964359529813,4,uJy
sg1745-2900,-3834.8782610851904,754.3670471873032,1,uJy
sg1745-2900,nan,nan,3,uJy
sg1745-2900,nan,nan,4,uJy
sg1806-20,-3379.7972521448137,2554.4746643899457,1,uJy
sg1806-20,-3537.5547496765143,2475.276717749644,2,uJy
sg1806-20,nan,nan,3,uJy
xt1810-197,-33.32076746061445,22.817963678945365,1,uJy
xt1810-197,-323.57704537324906,46.11568415073317,3,uJy
xt1810-197,-583.4485197514343,98.23764960767261,4,uJy
sw1818-1607,358.6736078435183,374.3591954885417,1,uJy
sw1818-1607,244.3635934154511,377.0898123115645,2,uJy
sw1818-1607,-41.47401062822342,295.97956297113444,3,uJy
sw1818-1607,-469.7890234778596,288.0248290194942,4,uJy
sw1822-1606,7799.174431023002,193.1905503999031,1,uJy
sw1822-1606,4764.227817174721,78.95085219856476,2,uJy
sw1822-1606,2542.1771475749974,111.46317881056409,3,uJy
sw1822-1606,1371.8439820881274,106.12372432114579,4,uJy
sg1833-0832,4.3346036356687545,73.13583755771063,1,uJy
sg1833-0832,-26.43661496009827,59.129677249077204,2,uJy
sg1833-0832,-101.77950108804704,107.01705329690603,3,uJy
sg1833-0832,28.52867077560425,103.89824821849857,4,uJy
sw1834-0846,147.95248048871755,118.16457412929407,1,uJy
sw1834-0846,246.0453577575684,100.83269784069952,2,uJy
sw1834-0846,-1177.9689852537156,206.5159691802196,3,uJy
sw1834-0846,-1698.3365386743164,207.9419854689458,4,uJy
3x1852+0033,52.64245162887574,93.25823367806125,2,uJy
3x1852+0033,-410.9190804240227,116.30914565409519,3,uJy
3x1852+0033,107.98847908927918,104.64539880323844,4,uJy
sg1900+14,-1737.1392104343417,545.2095771005517,2,uJy
sg1900+14,nan,nan,3,uJy
sg1900+14,nan,nan,4,uJy
sg1935+2154,36.047534725952154,6.039459389214111,2,uJy
sg1935+2154,457.31627384703165,78.13593425855633,3,uJy
1e2259+586,1.0308309793286026,0.9257608934414802,1,uJy
1e2259+586,4.860685631728173,0.2320081825037671,2,uJy
1e2259+586,1.4233556025207044,6.629135830122603,3,uJy
1e2259+586,4.0107224370718,1.6284548904218854,4,uJy
sg0755-2933,4409.001081338525,4318.51748961414,1,uJy
sg0755-2933,1727.3088086076739,3274.7941108843825,2,uJy
sg1801-23,721.5820541346073,1402.5453558647246,1,uJy
sg1801-23,311.25156539001466,914.7459121889137,2,uJy
sg1801-23,-88.8994385946274,535.9245866489148,3,uJy
sg1801-23,108.98848565345766,323.80872388401315,4,uJy
sg1808-20,596.00731153965,125.27017558760943,1,uJy
sg1808-20,85.11652125816347,59.67646039695671,2,uJy
sg1808-20,26.43687748279572,80.80003806210205,3,uJy
sg1808-20,-242.35514931816104,73.13197174160558,4,uJy
ax1818-1559,34.388401960730555,463.6292245040859,1,uJy
ax1818-1559,nan,nan,2,uJy
ax1818-1559,-302.12270038290023,210.33879874414345,3,uJy
ax1818-1559,-75.9378505256653,119.59481334182227,4,uJy
ax1845-0258,309.52980188816787,84.1651323257726,1,uJy
ax1845-0258,224.34227501544956,64.08997769555756,2,uJy
ax1845-0258,-91.8043878651619,77.42485053621786,3,uJy
ax1845-0258,-96.94224909255983,94.50588251771079,4,uJy
sg2013+34,-6.179340091869236,6.96976291558232,1,uJy
sg2013+34,7.3590779455065745,5.473382720749472,2,uJy
ps1846-0258,36.887475167512896,96.07160692127769,1,uJy
ps1846-0258,-27.558518712615975,51.41850467892023,2,uJy
ps1846-0258,-63.94933361053467,40.5406679667479,3,uJy
